ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
9780439023528,The Hunger Games,Suzanne Collins,2008,Scholastic,https://covers.openlibrary.org/b/isbn/9780439023528-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780439023528-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780439023528-L.jpg?default=false
9780679732761,Invisible Man,Ralph Ellison,1952,Random House,https://covers.openlibrary.org/b/isbn/9780679732761-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780679732761-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780679732761-L.jpg?default=false
9780374533557,"Thinking, Fast and Slow",Daniel Kahneman,2011,"Farrar, Straus and Giroux",https://covers.openlibrary.org/b/isbn/9780374533557-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780374533557-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780374533557-L.jpg?default=false
9780786838653,Percy Jackson and the Lightning Thief,Rick Riordan,2005,Disney-Hyperion,https://covers.openlibrary.org/b/isbn/9780786838653-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780786838653-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780786838653-L.jpg?default=false
9781503278921,Sherlock Holmes: A Study in Scarlet,Arthur Conan Doyle,1887,Ward Lock & Co,https://covers.openlibrary.org/b/isbn/9781503278921-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781503278921-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781503278921-L.jpg?default=false
9780307454546,The Girl with the Dragon Tattoo,Stieg Larsson,2005,Norstedts Forlag,https://covers.openlibrary.org/b/isbn/9780307454546-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307454546-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780307454546-L.jpg?default=false
9780547928227,The Hobbit,J.R.R. Tolkien,1937,Houghton Mifflin,https://covers.openlibrary.org/b/isbn/9780547928227-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780547928227-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780547928227-L.jpg?default=false
9781524763138,Becoming,Michelle Obama,2018,Crown,https://covers.openlibrary.org/b/isbn/9781524763138-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781524763138-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781524763138-L.jpg?default=false
9780553418026,The Martian,Andy Weir,2011,Crown,https://covers.openlibrary.org/b/isbn/9780553418026-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553418026-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780553418026-L.jpg?default=false
9780062316097,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,Harvill Secker,https://covers.openlibrary.org/b/isbn/9780062316097-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062316097-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780062316097-L.jpg?default=false
9780399590504,Educated,Tara Westover,2018,Random House,https://covers.openlibrary.org/b/isbn/9780399590504-S.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780399590504-M.jpg?default=false,https://covers.openlibrary.org/b/isbn/9780399590504-L.jpg?default=false
