User-ID,Location,Age
1,"seattle, wa, usa",55
2,"dublin, dublin, ireland",61
3,"paris, ile-de-france, france",
4,"mumbai, maharashtra, india",
5,"paris, ile-de-france, france",55
6,"dublin, dublin, ireland",
7,"paris, ile-de-france, france",24
8,"berlin, berlin, germany",15
9,"los angeles, ca, usa",
10,"paris, ile-de-france, france",41
11,"mumbai, maharashtra, india",56
12,"seattle, wa, usa",
13,"sydney, nsw, australia",45
14,"seattle, wa, usa",50
15,"sydney, nsw, australia",
16,"sydney, nsw, australia",26
17,"toronto, ontario, canada",65
18,"new york, ny, usa",24
19,"new york, ny, usa",30
20,"dublin, dublin, ireland",49
21,"seattle, wa, usa",17
22,"paris, ile-de-france, france",18
23,"london, england, united kingdom",
24,"seattle, wa, usa",34
25,"austin, tx, usa",62
26,"paris, ile-de-france, france",36
27,"paris, ile-de-france, france",47
28,"los angeles, ca, usa",20
29,"london, england, united kingdom",68
30,"new york, ny, usa",41
31,"toronto, ontario, canada",
32,"chicago, il, usa",37
33,"new york, ny, usa",20
34,"dublin, dublin, ireland",24
35,"mumbai, maharashtra, india",
36,"berlin, berlin, germany",28
37,"mumbai, maharashtra, india",31
38,"paris, ile-de-france, france",15
39,"sydney, nsw, australia",41
40,"mumbai, maharashtra, india",14
41,"austin, tx, usa",53
42,"sydney, nsw, australia",49
43,"toronto, ontario, canada",14
44,"berlin, berlin, germany",
45,"austin, tx, usa",35
46,"chicago, il, usa",
47,"austin, tx, usa",50
48,"new york, ny, usa",62
49,"dublin, dublin, ireland",29
50,"austin, tx, usa",42
51,"paris, ile-de-france, france",42
52,"paris, ile-de-france, france",54
53,"paris, ile-de-france, france",19
54,"sydney, nsw, australia",17
55,"seattle, wa, usa",36
56,"toronto, ontario, canada",38
57,"chicago, il, usa",
58,"chicago, il, usa",69
59,"mumbai, maharashtra, india",30
60,"new york, ny, usa",
61,"seattle, wa, usa",23
62,"sydney, nsw, australia",
63,"toronto, ontario, canada",18
64,"toronto, ontario, canada",
65,"austin, tx, usa",55
66,"austin, tx, usa",25
67,"paris, ile-de-france, france",44
68,"los angeles, ca, usa",50
69,"sydney, nsw, australia",45
70,"paris, ile-de-france, france",26
71,"berlin, berlin, germany",42
72,"sydney, nsw, australia",47
73,"toronto, ontario, canada",
74,"berlin, berlin, germany",
75,"chicago, il, usa",
76,"chicago, il, usa",14
77,"berlin, berlin, germany",
78,"seattle, wa, usa",57
79,"los angeles, ca, usa",49
80,"berlin, berlin, germany",
81,"london, england, united kingdom",
82,"berlin, berlin, germany",52
83,"toronto, ontario, canada",51
84,"austin, tx, usa",31
85,"berlin, berlin, germany",31
86,"mumbai, maharashtra, india",28
87,"austin, tx, usa",62
88,"chicago, il, usa",54
89,"los angeles, ca, usa",40
90,"sydney, nsw, australia",
91,"london, england, united kingdom",
92,"toronto, ontario, canada",54
93,"toronto, ontario, canada",
94,"austin, tx, usa",23
95,"berlin, berlin, germany",26
96,"toronto, ontario, canada",64
97,"seattle, wa, usa",23
98,"paris, ile-de-france, france",29
99,"mumbai, maharashtra, india",44
100,"new york, ny, usa",69
101,"berlin, berlin, germany",
102,"toronto, ontario, canada",58
103,"austin, tx, usa",16
104,"toronto, ontario, canada",
105,"new york, ny, usa",17
106,"seattle, wa, usa",24
107,"seattle, wa, usa",
108,"austin, tx, usa",42
109,"toronto, ontario, canada",38
110,"dublin, dublin, ireland",14
111,"dublin, dublin, ireland",32
112,"seattle, wa, usa",
113,"austin, tx, usa",
114,"sydney, nsw, australia",25
115,"toronto, ontario, canada",
116,"chicago, il, usa",57
117,"new york, ny, usa",48
118,"sydney, nsw, australia",53
119,"london, england, united kingdom",66
120,"toronto, ontario, canada",29
